iter	Passed	Remaining
862	522460	82939
863	522959	82317
864	523641	81724
865	524336	81132
866	524988	80534
867	525662	79939
868	526277	79335
869	526880	78729
870	527497	78125
871	528176	77530
872	528909	76943
873	529566	76344
874	530144	75734
875	530851	75143
876	531520	74546
877	532147	73943
878	532812	73345
879	533470	72745
880	534066	72138
881	534728	71539
882	535328	70932
883	535893	70320
884	536479	69712
885	537076	69104
886	537650	68494
887	538214	67882
888	538856	67281
889	539536	66684
890	540189	66083
891	540797	65477
892	541412	64872
893	541991	64262
894	542583	63655
895	543239	63054
896	543867	62450
897	544495	61846
898	545077	61237
899	545607	60623
900	546142	60009
901	546737	59401
902	547386	58800
903	548080	58203
904	548770	57605
905	549438	57005
906	550060	56400
907	550620	55789
908	551166	55177
909	551708	54564
910	552160	53943
911	552609	53321
912	553000	52695
913	553503	52080
914	554053	51469
915	554639	50862
916	555093	50242
917	555635	49631
918	556161	49019
919	556693	48408
920	557153	47790
921	557690	47179
922	558235	46570
923	558722	45955
924	559357	45353
925	559900	44743
926	560452	44134
927	561033	43528
928	561494	42912
929	562002	42301
930	562540	41692
931	562901	41070
932	563455	40462
933	563897	39847
934	564433	39238
935	565035	38634
936	565628	38030
937	566076	37416
938	566590	36807
939	567039	36194
940	567531	35583
941	568081	34977
942	568715	34376
943	569277	33770
944	569823	33164
945	570287	32553
946	570749	31942
947	571284	31336
948	571863	30732
949	572369	30124
950	572908	29518
951	573471	28914
952	574022	28309
953	574620	27707
954	575109	27099
955	575702	26496
956	576198	25889
957	576777	25286
958	577343	24683
959	577803	24075
960	578254	23467
961	578788	22862
962	579223	22254
963	579880	21655
964	580461	21053
965	580991	20448
966	581521	19845
967	582101	19243
968	582523	18635
969	583106	18034
970	583612	17430
971	584179	16828
972	584747	16226
973	585312	15624
974	585815	15020
975	586322	14417
976	586785	13813
977	587404	13213
978	587999	12612
979	588589	12012
980	589125	11410
981	589683	10808
982	590253	10207
983	590784	9606
984	591333	9005
985	591878	8403
986	592475	7803
987	592967	7202
988	593396	6599
989	593844	5998
990	594401	5398
991	594960	4798
992	595506	4197
993	596011	3597
994	596489	2997
995	597053	2397
996	597489	1797
997	598078	1198
998	598674	599
999	599220	0
